gap,count
1,1
2,4367790
4,4367993
6,7780542
8,3447884
10,4464072
12,5737053
14,3169583
16,2377625
18,4323075
20,2361179
22,2029192
24,3069839
26,1455877
28,1585574
30,2842857
32,895322
34,941923
36,1535290
38,721109
40,853318
42,1260455
44,515579
46,443538
48,766269
50,435905
52,327162
54,547788
56,283227
58,243884
60,499717
62,155647
64,160126
66,292630
68,119653
70,170413
72,172272
74,85474
76,75549
78,143790
80,73595
82,51994
84,107667
86,38315
88,39868
90,80255
92,26949
94,24542
96,43054
98,22600
100,23641
102,31425
104,14441
106,12399
108,21594
110,12813
112,10063
114,15493
116,6615
118,6396
120,13685
122,4263
124,4396
126,8319
128,2948
130,4027
132,5073
134,2171
136,1900
138,3710
140,2165
142,1369
144,2262
146,984
148,1069
150,2227
152,706
154,858
156,1156
158,473
160,542
162,792
164,365
166,283
168,691
170,316
172,246
174,392
176,184
178,152
180,309
182,122
184,130
186,173
188,69
190,93
192,111
194,59
196,57
198,114
200,50
202,36
204,72
206,28
208,34
210,71
212,14
214,21
216,25
218,12
220,17
222,15
224,11
226,9
228,7
230,8
232,1
234,16
236,6
238,1
240,6
242,5
244,3
246,5
248,5
250,5
252,2
254,1
260,1
274,1
276,1
282,1
288,1
