gap,p_start,ln_p,merit
1,2,0.693147,1.442695
2,3,1.098612,1.820478
4,7,1.945910,2.055593
6,23,3.135494,1.913574
8,89,4.488636,1.782278
14,113,4.727388,2.961466
18,523,6.259581,2.875592
20,887,6.787845,2.946443
22,1129,7.029088,3.129851
34,1327,7.190676,4.728345
36,9551,9.164401,3.928244
44,15683,9.660333,4.554709
52,19609,9.883744,5.261164
72,31397,10.354468,6.953520
86,155921,11.957105,7.192377
96,360653,12.795672,7.502537
112,370261,12.821963,8.735012
114,492113,13.106464,8.697998
118,1349533,14.115269,8.359741
132,1357201,14.120935,9.347823
148,2010733,14.514010,10.197044
154,4652353,15.352884,10.030689
180,17051707,16.651761,10.809668
210,20831323,16.851968,12.461452
220,47326693,17.672585,12.448660
222,122164747,18.620881,11.922100
234,189695659,19.060932,12.276420
248,191912783,19.072552,13.002980
250,387096133,19.774184,12.642747
282,436273009,19.893779,14.175286
288,1294268491,20.981212,13.726567
292,1453168141,21.097012,13.840823
320,2300942549,21.556585,14.844652
336,3842610773,22.069418,15.224688
354,4302407359,22.182441,15.958569
382,10726904659,23.096021,16.539646
384,20678048297,23.752339,16.166829
394,22367084959,23.830856,16.533187
456,25056082087,23.944382,19.044133
464,42652618343,24.476355,18.957071
468,127976334671,25.575111,18.299041
474,182226896239,25.928518,18.281029
486,241160624143,26.208729,18.543440
490,297501075799,26.418684,18.547480
500,303371455241,26.438224,18.912012
514,304599508537,26.442264,19.438578
516,416608695821,26.755413,19.285817
532,461690510011,26.858161,19.807760
534,614487453523,27.144054,19.672816
540,738832927927,27.328338,19.759709
582,1346294310749,27.928377,20.839020
588,1408695493609,27.973685,21.019755
602,1968188556461,28.308135,21.265972
652,2614941710599,28.592263,22.803372
