gap,p_start,ln_p,merit
1,2,0.693147,1.442695
2,3,1.098612,1.820478
4,7,1.945910,2.055593
6,23,3.135494,1.913574
8,89,4.488636,1.782278
14,113,4.727388,2.961466
18,523,6.259581,2.875592
20,887,6.787845,2.946443
22,1129,7.029088,3.129851
34,1327,7.190676,4.728345
36,9551,9.164401,3.928244
44,15683,9.660333,4.554709
52,19609,9.883744,5.261164
72,31397,10.354468,6.953520
86,155921,11.957105,7.192377
96,360653,12.795672,7.502537
112,370261,12.821963,8.735012
114,492113,13.106464,8.697998
118,1349533,14.115269,8.359741
132,1357201,14.120935,9.347823
148,2010733,14.514010,10.197044
154,4652353,15.352884,10.030689
180,17051707,16.651761,10.809668
210,20831323,16.851968,12.461452
220,47326693,17.672585,12.448660
222,122164747,18.620881,11.922100
234,189695659,19.060932,12.276420
248,191912783,19.072552,13.002980
250,387096133,19.774184,12.642747
282,436273009,19.893779,14.175286
